Facility,Role,Shift,Hours,QuarterStart,QuarterEnd
ACH Valley View,◦ Registered nurses,Morning Shift (7am-3pm),494,2025-04-01,2025-06-30
ACH Valley View,◦ Registered nurses,Afternoon Shift (3pm-11pm),349,2025-04-01,2025-06-30
ACH Valley View,◦ Registered nurses,Overnight Shift (11pm-7am),483,2025-04-01,2025-06-30
ACH Valley View,◦ Personal care workers / assistant in nursing,Morning Shift (7am-3pm),733,2025-04-01,2025-06-30
ACH Valley View,◦ Personal care workers / assistant in nursing,Afternoon Shift (3pm-11pm),476,2025-04-01,2025-06-30
ACH Valley View,◦ Personal care workers / assistant in nursing,Overnight Shift (11pm-7am),609,2025-04-01,2025-06-30
ACH Riverbank,◦ Registered nurses,Morning Shift (7am-3pm),435,2025-04-01,2025-06-30
ACH Riverbank,◦ Registered nurses,Afternoon Shift (3pm-11pm),713,2025-04-01,2025-06-30
ACH Riverbank,◦ Registered nurses,Overnight Shift (11pm-7am),322,2025-04-01,2025-06-30
ACH Riverbank,◦ Personal care workers / assistant in nursing,Morning Shift (7am-3pm),673,2025-04-01,2025-06-30
ACH Riverbank,◦ Personal care workers / assistant in nursing,Afternoon Shift (3pm-11pm),535,2025-04-01,2025-06-30
ACH Riverbank,◦ Personal care workers / assistant in nursing,Overnight Shift (11pm-7am),574,2025-04-01,2025-06-30
ACH Meadowfield,◦ Registered nurses,Morning Shift (7am-3pm),363,2025-04-01,2025-06-30
ACH Meadowfield,◦ Registered nurses,Afternoon Shift (3pm-11pm),798,2025-04-01,2025-06-30
ACH Meadowfield,◦ Registered nurses,Overnight Shift (11pm-7am),772,2025-04-01,2025-06-30
ACH Meadowfield,◦ Personal care workers / assistant in nursing,Morning Shift (7am-3pm),493,2025-04-01,2025-06-30
ACH Meadowfield,◦ Personal care workers / assistant in nursing,Afternoon Shift (3pm-11pm),340,2025-04-01,2025-06-30
ACH Meadowfield,◦ Personal care workers / assistant in nursing,Overnight Shift (11pm-7am),582,2025-04-01,2025-06-30
